CATEGORY;CHECK ITEM;EXPECTED VALUE / COMMAND;AVR-08-SFP-01;AVR-01-SWE-01;AVR-02-SWE-01;AVR-03-SWE-01;AVR-04-SWE-01;AVR-05-SWE-01;AVR-07-SWE-01;AVR-08-SWE-01;AVR-10-SWE-01;NOTES
5 - SPANNING TREE;All access ports have bpdu-guard;show spanning-tree interface 1/1/XX;;;;;;;;;;
5 - SPANNING TREE;Trunk/uplink has no bpdu-guard;show spanning-tree interface 1/1/XX (uplink);;;;;;;;;;
;;;;;;;;;;;;
6 - PORT VERIFICATION;Uplink trunk port number correct;show interface brief - check correct SFP/port;N/A;;;;;;;;;N/A on core (is the core)
6 - PORT VERIFICATION;Uplink vlan trunk allowed all;show running-config interface 1/1/XX;N/A;;;;;;;;;N/A on core
6 - PORT VERIFICATION;Uplink vlan trunk native 10;show running-config interface 1/1/XX;N/A;;;;;;;;;N/A on core
6 - PORT VERIFICATION;All SPARE ports admin-down (shutdown);show interface brief - look for admin-down;;;;;;;;;;
6 - PORT VERIFICATION;All SPARE ports vlan access 1;show running-config interface 1/1/XX (spare);;;;;;;;;;
6 - PORT VERIFICATION;Landlord ports vlan access 50;show running-config interface 1/1/XX (landlord);;;;;;;;;;
6 - PORT VERIFICATION;Reserved ports no shutdown;show interface brief - up/up or up/down;;;;;;;;;;
6 - PORT VERIFICATION;All active device ports link up;show interface brief - no unexpected down ports;;;;;;;;;;
6 - PORT VERIFICATION;Correct MAC address on Q-SYS device ports;show mac-address-table vlan 20;N/A;;;N/A;N/A;N/A;N/A;;N/A;N/A on core and non-QLAN switches
;;;;;;;;;;;;
7 - Q-SYS SPECIFIC;Q-SYS devices visible in Q-SYS Designer;Q-SYS Designer device list;N/A;;;N/A;N/A;N/A;N/A;;N/A;Applicable on AVR-01 AVR-02 AVR-08-SWE-01 only
7 - Q-SYS SPECIFIC;Overrun (drop_count) = 0;Q-SYS Designer -> Status Core -> Verbose mode;N/A;;;N/A;N/A;N/A;N/A;;N/A;Applicable on AVR-01 AVR-02 AVR-08-SWE-01 only
7 - Q-SYS SPECIFIC;Missing (missing_count) = 0;Q-SYS Designer -> Status Core -> Verbose mode;N/A;;;N/A;N/A;N/A;N/A;;N/A;Applicable on AVR-01 AVR-02 AVR-08-SWE-01 only
7 - Q-SYS SPECIFIC;QLAN ports confirmed 1Gbps;show interface 1/1/XX - speed 1000Mbps;N/A;;;N/A;N/A;N/A;N/A;;N/A;Applicable on AVR-01 AVR-02 AVR-08-SWE-01 only
7 - Q-SYS SPECIFIC;No port errors on QLAN ports;show interface 1/1/XX statistics - 0 errors;N/A;;;N/A;N/A;N/A;N/A;;N/A;Applicable on AVR-01 AVR-02 AVR-08-SWE-01 only
7 - Q-SYS SPECIFIC;Q-SYS Designer DSCP preset = Audinate;Q-SYS Designer -> File -> Design Properties;N/A;;;N/A;N/A;N/A;N/A;;N/A;Software config not switch
;;;;;;;;;;;;
8 - HARDWARE HEALTH;POST passed - no boot errors;show log | include POST;;;;;;;;;;
8 - HARDWARE HEALTH;All fans normal;show environment fan;;;;;;;;;;
8 - HARDWARE HEALTH;Power supply OK;show environment power;;;;;;;;;;
8 - HARDWARE HEALTH;Temperature within normal range;show environment temperature;;;;;;;;;;
8 - HARDWARE HEALTH;SFP modules seated and link active;show interface brief - SFP ports up;;;;;;;;;;
8 - HARDWARE HEALTH;No interface errors or drops;show interface brief - no err/drop counters;;;;;;;;;;
8 - HARDWARE HEALTH;No unusual LED indicators on chassis;Physical visual inspection;;;;;;;;;;
;;;;;;;;;;;;
9 - BURN-IN (QSC Checklist);2-hour burn-in completed;All devices running minimum 2 hours continuously;;;;;;;;;;
9 - BURN-IN (QSC Checklist);24-hour burn-in completed;All devices running minimum 24 hours (QSC requirement);;;;;;;;;;
9 - BURN-IN (QSC Checklist);Zero errors after 2-hour burn-in;show interface brief + Q-SYS Designer verbose;;;;;;;;;;
9 - BURN-IN (QSC Checklist);Zero errors after 24-hour burn-in;show interface brief + Q-SYS Designer verbose;;;;;;;;;;
9 - BURN-IN (QSC Checklist);Config backed up to repo after burn-in;write memory + git commit to XYZ-Exit10 repo;;;;;;;;;;
;;;;;;;;;;;;
10 - SIGN-OFF;Verified by;free text;;;;;;;;;;
10 - SIGN-OFF;Date verified;DD-MM-YYYY;;;;;;;;;;
10 - SIGN-OFF;Overall result;PASS / FAIL / PARTIAL;;;;;;;;;;
10 - SIGN-OFF;General notes;free text;;;;;;;;;;
